"Title","RSI:Internet:Other non-food stores:All Business:VAL NSA:%change month a year ago"
"CDID","KP3R"
"Source dataset ID","DRSI"
"PreUnit",""
"Unit","%"
"Release date","17-02-2023"
"Next release","24 March 2023"
"Important notes",
"2010","35.0"
"2011","8.1"
"2012","-1.5"
"2013","8.3"
"2014","-0.5"
"2015","-0.5"
"2016","18.9"
"2017","17.7"
"2018","13.7"
"2019","14.6"
"2020","78.8"
"2021","15.3"
"2022","-12.6"
"2010 Q1","-5.0"
"2010 Q2","20.1"
"2010 Q3","52.7"
"2010 Q4","60.1"
"2011 Q1","65.9"
"2011 Q2","25.8"
"2011 Q3","-3.3"
"2011 Q4","-16.7"
"2012 Q1","-12.0"
"2012 Q2","4.2"
"2012 Q3","2.9"
"2012 Q4","-0.7"
"2013 Q1","6.4"
"2013 Q2","1.2"
"2013 Q3","6.2"
"2013 Q4","17.0"
"2014 Q1","5.6"
"2014 Q2","-4.1"
"2014 Q3","-7.0"
"2014 Q4","3.6"
"2015 Q1","3.4"
"2015 Q2","-0.8"
"2015 Q3","-2.9"
"2015 Q4","-1.8"
"2016 Q1","-6.1"
"2016 Q2","14.9"
"2016 Q3","31.1"
"2016 Q4","31.3"
"2017 Q1","23.0"
"2017 Q2","16.5"
"2017 Q3","15.6"
"2017 Q4","17.0"
"2018 Q1","15.7"
"2018 Q2","23.7"
"2018 Q3","12.1"
"2018 Q4","7.9"
"2019 Q1","24.2"
"2019 Q2","14.7"
"2019 Q3","10.9"
"2019 Q4","11.4"
"2020 Q1","9.6"
"2020 Q2","88.8"
"2020 Q3","103.1"
"2020 Q4","104.3"
"2021 Q1","133.6"
"2021 Q2","10.4"
"2021 Q3","-5.5"
"2021 Q4","-10.7"
"2022 Q1","-18.9"
"2022 Q2","-9.9"
"2022 Q3","-4.8"
"2022 Q4","-14.3"
"2010 JAN","-14.5"
"2010 FEB","1.8"
"2010 MAR","-3.0"
"2010 APR","17.4"
"2010 MAY","24.0"
"2010 JUN","19.0"
"2010 JUL","47.0"
"2010 AUG","62.1"
"2010 SEP","49.8"
"2010 OCT","51.2"
"2010 NOV","48.7"
"2010 DEC","74.7"
"2011 JAN","92.0"
"2011 FEB","51.9"
"2011 MAR","59.5"
"2011 APR","29.0"
"2011 MAY","26.6"
"2011 JUN","23.0"
"2011 JUL","3.1"
"2011 AUG","-9.9"
"2011 SEP","-2.7"
"2011 OCT","-4.3"
"2011 NOV","-20.2"
"2011 DEC","-20.5"
"2012 JAN","-10.7"
"2012 FEB","-5.6"
"2012 MAR","-17.6"
"2012 APR","0.2"
"2012 MAY","13.8"
"2012 JUN","-0.8"
"2012 JUL","4.9"
"2012 AUG","5.2"
"2012 SEP","-0.7"
"2012 OCT","-11.1"
"2012 NOV","5.8"
"2012 DEC","1.2"
"2013 JAN","-3.3"
"2013 FEB","6.1"
"2013 MAR","14.7"
"2013 APR","12.2"
"2013 MAY","-5.5"
"2013 JUN","-0.8"
"2013 JUL","2.0"
"2013 AUG","5.8"
"2013 SEP","10.2"
"2013 OCT","26.9"
"2013 NOV","10.9"
"2013 DEC","16.2"
"2014 JAN","14.4"
"2014 FEB","3.7"
"2014 MAR","0.6"
"2014 APR","-5.6"
"2014 MAY","-13.2"
"2014 JUN","5.4"
"2014 JUL","-0.6"
"2014 AUG","-11.0"
"2014 SEP","-8.9"
"2014 OCT","-4.5"
"2014 NOV","11.5"
"2014 DEC","2.7"
"2015 JAN","2.3"
"2015 FEB","5.3"
"2015 MAR","3.1"
"2015 APR","4.6"
"2015 MAY","6.9"
"2015 JUN","-10.7"
"2015 JUL","-7.5"
"2015 AUG","-4.5"
"2015 SEP","2.2"
"2015 OCT","0.3"
"2015 NOV","0.6"
"2015 DEC","-4.8"
"2016 JAN","-8.3"
"2016 FEB","-8.5"
"2016 MAR","-2.4"
"2016 APR","13.1"
"2016 MAY","-2.0"
"2016 JUN","31.5"
"2016 JUL","24.6"
"2016 AUG","37.4"
"2016 SEP","31.5"
"2016 OCT","31.0"
"2016 NOV","25.1"
"2016 DEC","36.2"
"2017 JAN","23.9"
"2017 FEB","20.2"
"2017 MAR","24.3"
"2017 APR","20.2"
"2017 MAY","25.2"
"2017 JUN","7.8"
"2017 JUL","31.9"
"2017 AUG","12.4"
"2017 SEP","6.1"
"2017 OCT","7.1"
"2017 NOV","22.3"
"2017 DEC","18.6"
"2018 JAN","14.8"
"2018 FEB","13.2"
"2018 MAR","18.2"
"2018 APR","11.5"
"2018 MAY","29.4"
"2018 JUN","30.0"
"2018 JUL","8.0"
"2018 AUG","9.0"
"2018 SEP","18.2"
"2018 OCT","23.5"
"2018 NOV","4.7"
"2018 DEC","2.5"
"2019 JAN","16.2"
"2019 FEB","35.0"
"2019 MAR","22.5"
"2019 APR","25.6"
"2019 MAY","11.5"
"2019 JUN","9.0"
"2019 JUL","21.3"
"2019 AUG","15.4"
"2019 SEP","-1.2"
"2019 OCT","-2.9"
"2019 NOV","3.7"
"2019 DEC","25.9"
"2020 JAN","16.8"
"2020 FEB","3.7"
"2020 MAR","9.6"
"2020 APR","43.6"
"2020 MAY","111.3"
"2020 JUN","110.2"
"2020 JUL","103.0"
"2020 AUG","97.8"
"2020 SEP","107.7"
"2020 OCT","101.5"
"2020 NOV","146.7"
"2020 DEC","78.6"
"2021 JAN","140.7"
"2021 FEB","134.4"
"2021 MAR","126.6"
"2021 APR","56.6"
"2021 MAY","1.3"
"2021 JUN","-9.7"
"2021 JUL","-18.0"
"2021 AUG","-1.2"
"2021 SEP","3.5"
"2021 OCT","-0.1"
"2021 NOV","-20.0"
"2021 DEC","-8.0"
"2022 JAN","-15.4"
"2022 FEB","-16.4"
"2022 MAR","-23.6"
"2022 APR","-20.8"
"2022 MAY","-7.3"
"2022 JUN","-1.0"
"2022 JUL","-2.2"
"2022 AUG","-6.0"
"2022 SEP","-6.0"
"2022 OCT","-9.4"
"2022 NOV","-9.3"
"2022 DEC","-21.0"
"2023 JAN","-32.3"
