"Title","RSI:Household good stores:All Business:VOL SA percentage on year earlier"
"CDID","IDOH"
"Source dataset ID","DRSI"
"PreUnit",""
"Unit","%"
"Release date","17-02-2023"
"Next release","24 March 2023"
"Important notes",
"1988",""
"1989","1.8"
"1990","-1.0"
"1991","-4.7"
"1992","-2.4"
"1993","6.5"
"1994","3.1"
"1995","0.3"
"1996","6.4"
"1997","8.8"
"1998","4.9"
"1999","6.7"
"2000","5.4"
"2001","18.4"
"2002","6.4"
"2003","1.7"
"2004","5.4"
"2005","-2.8"
"2006","2.9"
"2007","3.7"
"2008","-3.3"
"2009","-5.9"
"2010","-6.0"
"2011","-5.5"
"2012","-1.6"
"2013","-2.8"
"2014","6.0"
"2015","7.9"
"2016","2.1"
"2017","-0.5"
"2018","4.7"
"2019","-3.1"
"2020","-0.8"
"2021","7.3"
"2022","-10.4"
"1988 Q1",""
"1988 Q2",""
"1988 Q3",""
"1988 Q4",""
"1989 Q1","6.1"
"1989 Q2","3.6"
"1989 Q3","-1.8"
"1989 Q4","-0.2"
"1990 Q1","1.1"
"1990 Q2","0.9"
"1990 Q3","-1.7"
"1990 Q4","-4.1"
"1991 Q1","-3.5"
"1991 Q2","-6.6"
"1991 Q3","-5.2"
"1991 Q4","-3.8"
"1992 Q1","-4.9"
"1992 Q2","-2.4"
"1992 Q3","-0.3"
"1992 Q4","-1.7"
"1993 Q1","4.1"
"1993 Q2","6.1"
"1993 Q3","7.0"
"1993 Q4","8.8"
"1994 Q1","4.9"
"1994 Q2","3.7"
"1994 Q3","1.9"
"1994 Q4","2.2"
"1995 Q1","-0.7"
"1995 Q2","-0.3"
"1995 Q3","0.2"
"1995 Q4","2.0"
"1996 Q1","3.3"
"1996 Q2","6.9"
"1996 Q3","7.8"
"1996 Q4","8.0"
"1997 Q1","8.6"
"1997 Q2","10.5"
"1997 Q3","8.3"
"1997 Q4","7.6"
"1998 Q1","8.2"
"1998 Q2","3.3"
"1998 Q3","5.3"
"1998 Q4","2.9"
"1999 Q1","4.4"
"1999 Q2","5.8"
"1999 Q3","7.2"
"1999 Q4","9.4"
"2000 Q1","8.5"
"2000 Q2","5.1"
"2000 Q3","4.1"
"2000 Q4","3.9"
"2001 Q1","12.7"
"2001 Q2","20.2"
"2001 Q3","19.7"
"2001 Q4","21.0"
"2002 Q1","11.3"
"2002 Q2","6.3"
"2002 Q3","5.3"
"2002 Q4","3.0"
"2003 Q1","0.3"
"2003 Q2","2.2"
"2003 Q3","2.2"
"2003 Q4","2.1"
"2004 Q1","6.4"
"2004 Q2","4.5"
"2004 Q3","6.2"
"2004 Q4","4.6"
"2005 Q1","-0.1"
"2005 Q2","-2.5"
"2005 Q3","-5.5"
"2005 Q4","-3.2"
"2006 Q1","-0.8"
"2006 Q2","3.8"
"2006 Q3","3.7"
"2006 Q4","4.9"
"2007 Q1","6.7"
"2007 Q2","2.8"
"2007 Q3","4.8"
"2007 Q4","0.7"
"2008 Q1","-1.1"
"2008 Q2","-0.7"
"2008 Q3","-4.9"
"2008 Q4","-6.6"
"2009 Q1","-8.5"
"2009 Q2","-10.0"
"2009 Q3","-4.1"
"2009 Q4","-0.4"
"2010 Q1","-5.1"
"2010 Q2","-2.3"
"2010 Q3","-5.7"
"2010 Q4","-10.6"
"2011 Q1","-4.7"
"2011 Q2","-7.2"
"2011 Q3","-6.6"
"2011 Q4","-3.5"
"2012 Q1","-3.4"
"2012 Q2","0.2"
"2012 Q3","-2.8"
"2012 Q4","-0.7"
"2013 Q1","-3.5"
"2013 Q2","-4.2"
"2013 Q3","-2.3"
"2013 Q4","-1.4"
"2014 Q1","4.9"
"2014 Q2","3.9"
"2014 Q3","7.2"
"2014 Q4","8.3"
"2015 Q1","8.5"
"2015 Q2","8.9"
"2015 Q3","8.8"
"2015 Q4","5.4"
"2016 Q1","3.2"
"2016 Q2","2.2"
"2016 Q3","-0.2"
"2016 Q4","3.1"
"2017 Q1","-0.5"
"2017 Q2","-0.1"
"2017 Q3","-0.4"
"2017 Q4","-1.3"
"2018 Q1","2.8"
"2018 Q2","2.9"
"2018 Q3","6.8"
"2018 Q4","6.2"
"2019 Q1","-1.5"
"2019 Q2","-1.7"
"2019 Q3","-4.2"
"2019 Q4","-4.7"
"2020 Q1","-4.0"
"2020 Q2","-24.3"
"2020 Q3","12.1"
"2020 Q4","13.3"
"2021 Q1","3.4"
"2021 Q2","56.8"
"2021 Q3","-5.1"
"2021 Q4","-10.4"
"2022 Q1","1.3"
"2022 Q2","-18.6"
"2022 Q3","-13.2"
"2022 Q4","-9.4"
"1988 JAN",""
"1988 FEB",""
"1988 MAR",""
"1988 APR",""
"1988 MAY",""
"1988 JUN",""
"1988 JUL",""
"1988 AUG",""
"1988 SEP",""
"1988 OCT",""
"1988 NOV",""
"1988 DEC",""
"1989 JAN","3.0"
"1989 FEB","7.8"
"1989 MAR","7.3"
"1989 APR","5.4"
"1989 MAY","4.6"
"1989 JUN","1.5"
"1989 JUL","-5.6"
"1989 AUG","-0.7"
"1989 SEP","0.4"
"1989 OCT","-1.0"
"1989 NOV","-0.4"
"1989 DEC","0.7"
"1990 JAN","0.8"
"1990 FEB","2.9"
"1990 MAR","-0.2"
"1990 APR","-1.4"
"1990 MAY","1.3"
"1990 JUN","2.3"
"1990 JUL","0.3"
"1990 AUG","-1.8"
"1990 SEP","-3.1"
"1990 OCT","-3.4"
"1990 NOV","-3.9"
"1990 DEC","-4.9"
"1991 JAN","-5.4"
"1991 FEB","-7.7"
"1991 MAR","1.9"
"1991 APR","-5.4"
"1991 MAY","-7.0"
"1991 JUN","-7.2"
"1991 JUL","-4.3"
"1991 AUG","-6.1"
"1991 SEP","-5.1"
"1991 OCT","-5.0"
"1991 NOV","-4.2"
"1991 DEC","-2.6"
"1992 JAN","-0.6"
"1992 FEB","-1.5"
"1992 MAR","-11.0"
"1992 APR","-1.7"
"1992 MAY","-3.5"
"1992 JUN","-2.0"
"1992 JUL","-2.9"
"1992 AUG","1.7"
"1992 SEP","0.1"
"1992 OCT","-0.8"
"1992 NOV","-1.5"
"1992 DEC","-2.7"
"1993 JAN","1.2"
"1993 FEB","3.8"
"1993 MAR","6.7"
"1993 APR","4.2"
"1993 MAY","6.2"
"1993 JUN","7.6"
"1993 JUL","6.9"
"1993 AUG","6.2"
"1993 SEP","7.6"
"1993 OCT","8.8"
"1993 NOV","8.6"
"1993 DEC","9.1"
"1994 JAN","8.0"
"1994 FEB","3.4"
"1994 MAR","3.7"
"1994 APR","4.8"
"1994 MAY","5.5"
"1994 JUN","1.4"
"1994 JUL","1.0"
"1994 AUG","1.9"
"1994 SEP","2.5"
"1994 OCT","2.3"
"1994 NOV","3.1"
"1994 DEC","1.3"
"1995 JAN","-3.8"
"1995 FEB","0.8"
"1995 MAR","0.7"
"1995 APR","-1.2"
"1995 MAY","-1.2"
"1995 JUN","1.1"
"1995 JUL","1.9"
"1995 AUG","-2.2"
"1995 SEP","0.8"
"1995 OCT","1.4"
"1995 NOV","2.0"
"1995 DEC","2.6"
"1996 JAN","2.4"
"1996 FEB","4.3"
"1996 MAR","3.6"
"1996 APR","6.1"
"1996 MAY","10.0"
"1996 JUN","5.0"
"1996 JUL","6.4"
"1996 AUG","9.5"
"1996 SEP","7.6"
"1996 OCT","9.5"
"1996 NOV","7.7"
"1996 DEC","7.0"
"1997 JAN","9.9"
"1997 FEB","8.3"
"1997 MAR","7.4"
"1997 APR","7.3"
"1997 MAY","5.8"
"1997 JUN","17.1"
"1997 JUL","11.4"
"1997 AUG","9.0"
"1997 SEP","5.2"
"1997 OCT","6.1"
"1997 NOV","6.4"
"1997 DEC","9.8"
"1998 JAN","10.6"
"1998 FEB","6.1"
"1998 MAR","8.2"
"1998 APR","8.6"
"1998 MAY","4.0"
"1998 JUN","-1.0"
"1998 JUL","4.4"
"1998 AUG","2.6"
"1998 SEP","8.3"
"1998 OCT","2.7"
"1998 NOV","2.7"
"1998 DEC","3.3"
"1999 JAN","4.2"
"1999 FEB","5.3"
"1999 MAR","3.8"
"1999 APR","3.1"
"1999 MAY","6.9"
"1999 JUN","7.1"
"1999 JUL","5.5"
"1999 AUG","10.9"
"1999 SEP","5.7"
"1999 OCT","9.0"
"1999 NOV","10.4"
"1999 DEC","8.9"
"2000 JAN","11.1"
"2000 FEB","4.0"
"2000 MAR","10.0"
"2000 APR","5.6"
"2000 MAY","4.7"
"2000 JUN","4.9"
"2000 JUL","5.2"
"2000 AUG","3.4"
"2000 SEP","3.8"
"2000 OCT","2.8"
"2000 NOV","5.5"
"2000 DEC","3.5"
"2001 JAN","0.9"
"2001 FEB","20.5"
"2001 MAR","16.3"
"2001 APR","21.8"
"2001 MAY","20.7"
"2001 JUN","18.4"
"2001 JUL","19.2"
"2001 AUG","19.6"
"2001 SEP","20.2"
"2001 OCT","24.7"
"2001 NOV","17.6"
"2001 DEC","20.7"
"2002 JAN","17.1"
"2002 FEB","8.4"
"2002 MAR","10.0"
"2002 APR","5.8"
"2002 MAY","8.7"
"2002 JUN","4.7"
"2002 JUL","5.4"
"2002 AUG","3.9"
"2002 SEP","6.5"
"2002 OCT","2.7"
"2002 NOV","6.1"
"2002 DEC","0.8"
"2003 JAN","2.7"
"2003 FEB","0.6"
"2003 MAR","-2.4"
"2003 APR","1.9"
"2003 MAY","0.4"
"2003 JUN","4.0"
"2003 JUL","2.8"
"2003 AUG","2.9"
"2003 SEP","1.3"
"2003 OCT","2.4"
"2003 NOV","-0.1"
"2003 DEC","3.6"
"2004 JAN","6.4"
"2004 FEB","5.8"
"2004 MAR","7.0"
"2004 APR","5.1"
"2004 MAY","3.5"
"2004 JUN","4.8"
"2004 JUL","6.9"
"2004 AUG","5.1"
"2004 SEP","6.4"
"2004 OCT","2.4"
"2004 NOV","7.1"
"2004 DEC","4.3"
"2005 JAN","1.7"
"2005 FEB","0.8"
"2005 MAR","-2.3"
"2005 APR","-1.0"
"2005 MAY","-2.8"
"2005 JUN","-3.4"
"2005 JUL","-6.3"
"2005 AUG","-5.0"
"2005 SEP","-5.2"
"2005 OCT","-2.1"
"2005 NOV","-5.7"
"2005 DEC","-2.0"
"2006 JAN","-2.1"
"2006 FEB","-1.8"
"2006 MAR","1.1"
"2006 APR","1.8"
"2006 MAY","3.8"
"2006 JUN","5.3"
"2006 JUL","1.8"
"2006 AUG","6.5"
"2006 SEP","2.9"
"2006 OCT","3.2"
"2006 NOV","4.8"
"2006 DEC","6.4"
"2007 JAN","5.6"
"2007 FEB","7.9"
"2007 MAR","6.5"
"2007 APR","1.7"
"2007 MAY","3.4"
"2007 JUN","3.1"
"2007 JUL","9.3"
"2007 AUG","2.5"
"2007 SEP","3.1"
"2007 OCT","2.8"
"2007 NOV","0.3"
"2007 DEC","-0.5"
"2008 JAN","1.2"
"2008 FEB","-2.2"
"2008 MAR","-2.2"
"2008 APR","1.8"
"2008 MAY","0.1"
"2008 JUN","-3.4"
"2008 JUL","-6.1"
"2008 AUG","-3.3"
"2008 SEP","-5.1"
"2008 OCT","-7.9"
"2008 NOV","-4.7"
"2008 DEC","-7.0"
"2009 JAN","-6.9"
"2009 FEB","-8.7"
"2009 MAR","-9.4"
"2009 APR","-10.7"
"2009 MAY","-11.1"
"2009 JUN","-8.6"
"2009 JUL","-4.8"
"2009 AUG","-5.2"
"2009 SEP","-2.5"
"2009 OCT","0.7"
"2009 NOV","-0.9"
"2009 DEC","-0.8"
"2010 JAN","-15.6"
"2010 FEB","-1.2"
"2010 MAR","0.5"
"2010 APR","-2.9"
"2010 MAY","-0.8"
"2010 JUN","-3.0"
"2010 JUL","-4.6"
"2010 AUG","-5.1"
"2010 SEP","-7.0"
"2010 OCT","-9.2"
"2010 NOV","-11.4"
"2010 DEC","-11.2"
"2011 JAN","4.4"
"2011 FEB","-7.5"
"2011 MAR","-9.0"
"2011 APR","-6.5"
"2011 MAY","-8.5"
"2011 JUN","-6.7"
"2011 JUL","-7.4"
"2011 AUG","-7.8"
"2011 SEP","-4.8"
"2011 OCT","-2.7"
"2011 NOV","-3.9"
"2011 DEC","-4.0"
"2012 JAN","-4.6"
"2012 FEB","-4.9"
"2012 MAR","-1.1"
"2012 APR","0.0"
"2012 MAY","0.8"
"2012 JUN","0.1"
"2012 JUL","-1.6"
"2012 AUG","-2.6"
"2012 SEP","-3.8"
"2012 OCT","-4.4"
"2012 NOV","0.5"
"2012 DEC","1.4"
"2013 JAN","-3.8"
"2013 FEB","0.8"
"2013 MAR","-6.6"
"2013 APR","-7.4"
"2013 MAY","-1.4"
"2013 JUN","-3.9"
"2013 JUL","-2.2"
"2013 AUG","-4.3"
"2013 SEP","-0.6"
"2013 OCT","-1.2"
"2013 NOV","0.9"
"2013 DEC","-3.4"
"2014 JAN","7.8"
"2014 FEB","0.9"
"2014 MAR","5.5"
"2014 APR","6.7"
"2014 MAY","-1.8"
"2014 JUN","6.4"
"2014 JUL","4.3"
"2014 AUG","12.3"
"2014 SEP","5.6"
"2014 OCT","9.3"
"2014 NOV","3.2"
"2014 DEC","11.7"
"2015 JAN","5.8"
"2015 FEB","8.2"
"2015 MAR","11.4"
"2015 APR","9.1"
"2015 MAY","11.0"
"2015 JUN","7.2"
"2015 JUL","13.0"
"2015 AUG","3.9"
"2015 SEP","9.6"
"2015 OCT","4.8"
"2015 NOV","7.1"
"2015 DEC","4.7"
"2016 JAN","6.8"
"2016 FEB","5.6"
"2016 MAR","-1.4"
"2016 APR","1.4"
"2016 MAY","5.5"
"2016 JUN","0.2"
"2016 JUL","0.3"
"2016 AUG","0.9"
"2016 SEP","-1.5"
"2016 OCT","3.2"
"2016 NOV","5.2"
"2016 DEC","1.4"
"2017 JAN","-3.5"
"2017 FEB","-1.0"
"2017 MAR","2.5"
"2017 APR","5.2"
"2017 MAY","-5.4"
"2017 JUN","0.2"
"2017 JUL","-0.8"
"2017 AUG","-1.2"
"2017 SEP","0.6"
"2017 OCT","-0.1"
"2017 NOV","-3.0"
"2017 DEC","-0.8"
"2018 JAN","1.8"
"2018 FEB","2.2"
"2018 MAR","4.2"
"2018 APR","-2.1"
"2018 MAY","7.0"
"2018 JUN","3.9"
"2018 JUL","1.2"
"2018 AUG","10.2"
"2018 SEP","8.9"
"2018 OCT","4.2"
"2018 NOV","6.3"
"2018 DEC","7.6"
"2019 JAN","-0.5"
"2019 FEB","-1.6"
"2019 MAR","-2.2"
"2019 APR","-2.4"
"2019 MAY","-3.4"
"2019 JUN","0.2"
"2019 JUL","-3.4"
"2019 AUG","-5.4"
"2019 SEP","-3.8"
"2019 OCT","-4.5"
"2019 NOV","1.1"
"2019 DEC","-9.5"
"2020 JAN","-0.2"
"2020 FEB","-0.4"
"2020 MAR","-10.5"
"2020 APR","-50.5"
"2020 MAY","-31.0"
"2020 JUN","1.0"
"2020 JUL","12.4"
"2020 AUG","12.9"
"2020 SEP","11.2"
"2020 OCT","16.8"
"2020 NOV","6.2"
"2020 DEC","16.7"
"2021 JAN","-10.2"
"2021 FEB","2.7"
"2021 MAR","16.9"
"2021 APR","144.4"
"2021 MAY","78.2"
"2021 JUN","12.2"
"2021 JUL","0.7"
"2021 AUG","-3.1"
"2021 SEP","-11.1"
"2021 OCT","-12.6"
"2021 NOV","-11.6"
"2021 DEC","-7.5"
"2022 JAN","12.9"
"2022 FEB","-2.0"
"2022 MAR","-4.0"
"2022 APR","-17.0"
"2022 MAY","-20.1"
"2022 JUN","-18.6"
"2022 JUL","-16.9"
"2022 AUG","-14.0"
"2022 SEP","-9.2"
"2022 OCT","-11.9"
"2022 NOV","-4.9"
"2022 DEC","-11.0"
"2023 JAN","-6.6"
